_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
236,2023,3,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,55806,1222,326,19885,50,25,,,,2726,162,15,3180,265,23,2857,23,2837,89,0,0,3523,93014
237,2023,3,A3135,SESTAO - Cabieces,23794,483,83,12014,34,5,,,,854,67,11,733,42,3,1244,4,1425,16,0,0,1573,42385
238,2023,3,A3136,BILBAO - BARAKALDO - SANTURTZI,58462,1402,374,17431,85,53,,,,2697,388,21,3489,362,129,3264,13,2980,109,0,0,2601,93860
239,2023,3,A3137,BILBAO - BARAKALDO,17010,398,45,5447,128,1,2,,,501,35,33,662,50,,704,0,804,67,0,0,981,26868
240,2023,3,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,19596,376,29,7906,23,8,,2,,1561,110,1,1098,73,11,1017,1,786,19,0,0,1235,33852
241,2023,3,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),32823,837,115,6169,31,4,1,1,,1402,158,13,1582,140,13,1574,2,1068,34,0,0,1549,47516
242,2023,3,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),12542,312,71,1614,4,,,,,523,36,,279,8,,227,0,122,5,0,0,662,16405
243,2023,3,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,12839,374,47,4546,1,,,,,907,132,,586,39,11,769,1,289,4,0,0,355,20900
244,2023,3,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,2678,36,,1581,4,,,,,71,4,,125,24,,115,0,71,7,0,0,91,4807
245,2023,3,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,18471,406,32,5878,,6,,,,1296,72,,1600,169,,843,1,420,26,0,0,661,29881
246,2023,3,A3333,Gallarta - SANTURTZI,30874,736,161,11587,12,6,,,,2168,338,4,2044,325,27,2316,15,785,43,0,0,1043,52484
247,2023,3,A3335,MUSKIZ - ZIERBENA - SESTAO,10089,202,59,5266,3,1,,,,519,25,1,554,19,18,698,0,298,11,0,0,481,18244
248,2023,3,A3336,BILBAO - MUSKIZ,42261,1244,127,12794,62,6,2,,1,3059,362,3,2277,196,40,2635,27,1327,77,0,0,1972,68472
249,2023,3,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,35906,996,132,11381,20,14,,,,2266,306,8,2081,278,60,1928,17,786,19,0,0,982,57180
250,2023,3,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
251,2023,3,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),10680,380,25,2557,12,,,,,513,129,,453,228,92,410,2,165,3,0,0,693,16342
252,2023,3,A3521,BILBAO - Hospital Santa Marina Ospitalea,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
253,2023,3,A0651,BILBAO - BALMASEDA,44302,1377,352,10407,266,1,0,0,0,3734,556,73,5788,896,116,1810,4,583,7,0,0,705,70977
254,2023,3,A0652,LANESTOSA - BALMASEDA,2286,39,0,1014,0,0,0,0,0,173,19,4,17,4,0,699,0,29,0,0,0,14,4298
255,2023,3,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,230,0,0,345,0,0,0,0,0,0,0,0,0,0,0,525,0,9,0,0,0,0,1109
256,2023,3,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,5425,177,15,1810,12,0,0,0,0,751,54,3,616,47,23,240,1,93,2,0,0,80,9349
257,2023,3,A3323,PORTUGALETE - GALDAMES,2646,57,9,1019,0,0,0,0,0,70,4,0,143,9,3,125,0,27,0,0,0,66,4178
258,2023,3,A3334,SANTURTZI - BALMASEDA,3716,138,13,1097,4,2,0,0,0,392,46,32,163,12,4,337,0,57,0,0,0,96,6109
259,2023,3,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,3171,68,56,1045,0,0,0,0,0,90,5,7,309,14,1,146,2,39,0,0,0,30,4983
260,2023,3,A3342,BILBAO - Sodupe - ARTZINIEGA,16542,706,114,5173,2,0,0,0,0,666,122,81,1450,180,61,668,2,128,12,0,0,249,26156
261,2023,3,A3343,BILBAO - Sodupe - GORDEXOLA,3051,154,12,949,0,0,0,0,0,153,6,3,252,24,5,148,0,28,4,0,0,25,4814
262,2023,3,A2151,Areeta/Las Arenas-LARRABETZU,9028,259,33,1857,3,1,,,,865,67,,936,67,2,292,,59,2,,,108,13579
263,2023,3,A2153,BILBAO-LOIU-Lauroeta-DERIO,10733,498,56,1349,36,3,,,,516,55,1,2203,26,88,837,1,114,,,,107,16623
264,2023,3,A2161,Bizkaia Zubia/Puente Bizkaia-UPV/EHU,15615,1015,147,3403,6,,,,,2870,450,77,1577,255,33,556,,313,8,,,142,26467
265,2023,3,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),5161,489,22,322,,,,,,1706,309,21,417,76,,146,,50,,,,57,8776
266,2023,3,A2163,ERANDIO-UPV/EHU,434,34,11,7,,,,,,214,5,,96,17,,7,,8,,,,26,859
267,2023,3,A2164,Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),759,79,,28,,,,,,341,74,,48,7,,12,,10,,,,7,1365
268,2023,3,A2166,URIBE KOSTA - UPV/EHU,2003,256,26,81,,,,,,731,115,14,302,40,,30,,,,,,3,3601
269,2023,3,A2322,BILBAO-ERANDIO-Astrabudua-UPV/EHU,5846,229,20,1411,5,,,,,782,68,2,1055,124,9,214,,101,3,,,317,10186
270,2023,3,A3223,BILBAO-LARRABETZU(Artxandako tunelak/Tuneles Artxanda),8405,414,16,1631,,2,,,,645,85,,492,166,,268,,82,,,,118,12324
271,2023,3,A3224,BILBAO-DERIO-Teknologia parkea/Parque Tecnologico,6070,136,1,968,3,2,,,,297,34,2,217,7,1,110,,49,2,,,136,8035
272,2023,3,A3225,BILBAO-LAUKIZ,3248,58,11,462,2,,,,,60,4,0,818,22,,109,,38,3,,,146,4981
273,2023,3,A3247,BILBAO-Aireportua/Aeropuerto,37025,609,64,4684,11,,12,1,13,222,13,0,334,25,64,32868,27,649,4,,,205,76830
274,2023,3,A3250,BILBAO-Teknologia Parkea/Parque Tecnologico (Artxandako tunelak/Tuneles Artxanda),16353,288,12,718,27,,,,,900,75,,1135,76,,225,,14,1,,,144,19968
275,2023,3,A3516,BILBAO - MUNGIA (Por autopista/tik),15685,693,111,2036,13,3,,,,965,78,8,1192,118,6,506,,125,5,,,147,21691
276,2023,3,A3517,BILBAO - DERIO - MUNGIA,31469,815,280,4363,55,5,,,,2048,247,30,2410,211,2,1430,,223,5,,,431,44024
277,2023,3,A3518,BILBAO - MUNGIA - BAKIO (Por la autopista/tik),32001,1304,148,4748,40,,5,2,6,1710,194,8,2360,282,10,1804,,259,32,,,385,45298
278,2023,3,A3522,MUNGIA - DERIO - Cruces/Gurutzeta,7848,157,81,1739,6,,,,,259,6,1,429,37,,239,,134,8,,,69,11013
279,2023,3,A3524,BERMEO - BAKIO,,,,,,,,,,,,,,,,912,,,,,,0,912
280,2023,3,A3527,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),53917,2316,251,7834,48,4,2,,,5772,339,65,4327,403,18,1688,,384,13,,,479,77860
281,2023,3,A3528,BERMEO - MUNGIA - DERIO - UPV/EHU,3932,236,75,203,20,,,,,1165,224,13,444,80,,137,,5,,,,39,6573
282,2023,3,A3529,MUNGIA - GAMIZ - FIKA,463,10,1,77,,,,,,,,,20,,,15,,1,,,,26,613
283,2023,3,A3530,MUNGIA - MEÃAKA - ARRIETA,251,19,,70,,,,,,2,1,,8,,,13,,,,,,21,385
284,2023,3,A3531,SOPELANA - MUNGIA - GATIKA,8144,426,25,2789,3,1,,,,518,78,1,849,168,1,398,,229,11,,,107,13748
285,2023,3,A3537,PLENTZIA-GORLIZ-MUNGIA,3137,164,20,818,,4,,,,52,4,,425,19,,130,,78,11,,,73,4935
