_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
208,2024,6,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1665,26,0,812,0,0,0,0,0,4,3,0,17,0,0,7,0,0,29,0,0,106,0,0,97,0,20,0,0,0,4,2790
209,2024,6,A3930,BILBAO - GALDAKAO (Autopista),17427,423,40,3808,2,1,0,0,0,1129,77,6,1131,81,15,1410,20,0,650,14,0,1415,7,0,304,0,180,13,0,0,194,28347
210,2024,6,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,65
211,2024,6,A3932,GALDAKAO - Metro Bolueta,32488,970,61,12192,75,14,0,0,0,17,2,0,19,0,0,57,2,0,10,1,0,27,1,0,425,0,980,41,0,0,375,47757
212,2024,6,A3933,BILBAO - DURANGO (Autopista),24907,997,242,3717,48,8,0,0,0,1303,164,11,867,227,22,1970,166,1,234,2,0,773,30,37,686,2,287,11,0,1,59,36772
213,2024,6,A3512,BILBAO - LEKEITIO (Autopista),28911,1144,98,5334,35,1,0,0,0,616,28,1,205,7,1,659,34,10,248,1,0,487,11,0,1899,0,319,10,0,0,103,40162
214,2024,6,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,11621,412,22,3969,7,6,0,0,0,265,6,1,222,6,3,215,6,1,46,0,0,229,3,0,829,1,109,8,0,0,62,18049
215,2024,6,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,34426,1044,92,5703,49,2,0,0,0,891,108,6,1723,129,9,1537,76,0,331,11,0,1459,8,1,1163,11,281,30,0,0,175,49265
216,2024,6,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,61599,1656,199,13766,97,0,0,0,2,2021,283,13,2665,91,9,1695,110,0,375,18,0,1962,40,1,2823,17,754,24,0,0,295,90515
217,2024,6,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,8967,287,15,3189,56,2,0,0,0,236,14,4,166,20,3,301,3,0,38,1,0,240,1,0,885,2,113,9,0,0,38,14590
