_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
180,2024,2,A3516,BILBAO - MUNGIA (Por autopista/tik),19516,637,123,2771,24,12,,,,1135,83,13,1500,198,88,566,24,,111,2,,427,5,14,504,,174,2,,,225,28154
181,2024,2,A3517,BILBAO - DERIO - MUNGIA,32741,1061,241,4815,47,,,,,2140,239,39,2625,419,49,1012,52,,336,,,1280,13,14,1450,1,300,9,,,437,49320
182,2024,2,A3518,BILBAO - MUNGIA - BAKIO (Por la autopista/tik),31291,1077,128,4932,29,5,,4,,1547,246,10,2405,321,87,951,31,,89,3,,659,13,22,1454,,271,12,,,382,45969
183,2024,2,A3522,MUNGIA-DERIO-Gurutzeta/Cruces,9504,122,60,1809,8,,,,,411,61,9,451,90,2,257,1,,129,1,,375,1,,352,1,179,5,,,133,13961
184,2024,2,A3524,BERMEO - BAKIO,,,,,,,,,,,,,,,,,,,,,,,,,608,,0,,,,0,608
185,2024,2,A3527,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),59555,2231,294,8674,57,15,,2,,5205,461,134,4602,514,178,1940,75,,270,10,,1305,5,42,1690,,471,23,,,608,88361
186,2024,2,A3528,BERMEO - MUNGIA - DERIO - UPV/EHU,5401,343,123,256,6,,,,,1372,180,3,380,213,31,62,4,,7,,,43,,5,118,,8,,,,52,8607
187,2024,2,A3529,MUNGIA - GAMIZ - FIKA,555,25,,76,,,,,,10,,,32,,,,,,,,,23,,,25,,2,,,,15,763
188,2024,2,A3530,MUNGIA - MEÃAKA - ARRIETA,240,27,,61,,,,,,1,,,3,,,1,,,,,,11,,,14,,,,,,3,361
189,2024,2,A3531,LEIOA-Hospital Urduliz Ospitalea - GATIKA -MUNGIA,9548,436,27,3207,16,2,,,,623,112,12,940,71,14,237,52,,36,,,412,5,4,569,,359,6,,,143,16831
190,2024,2,A3537,PLENTZIA-GORLIZ-MUNGIA,3954,126,16,906,3,6,,,,149,2,4,475,19,1,17,,,5,1,,105,,4,194,,105,14,,,63,6169
191,2024,3,A2610,GALDAKAO - UPV/EHU,5860,314,50,325,1,0,0,0,0,3023,318,4,1256,113,10,324,19,2,145,0,0,204,1,3,90,0,38,0,25,0,63,12188
192,2024,3,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,3332,144,32,339,1,0,0,0,0,1417,173,8,573,76,12,121,3,0,69,0,1,125,1,1,49,0,32,1,0,0,62,6572
193,2024,3,A3613,BILBAO - UGAO MIRABALLES - OROZKO,17187,288,46,8307,19,0,0,0,0,698,44,9,608,60,12,502,2,0,154,10,8,642,5,0,1155,1,758,38,19,1,360,30933
194,2024,3,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,6082,96,42,2101,11,0,0,0,4,267,17,2,357,12,15,305,3,0,89,2,0,364,6,7,328,0,215,5,0,0,154,10484
195,2024,3,A3631,BILBAO - GALDAKAO - LARRABETZU,20971,515,106,6073,11,4,1,0,0,1276,103,10,1189,135,8,870,5,0,432,31,0,874,10,4,971,2,519,3,3,0,529,34655
196,2024,3,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3362,85,45,1420,10,0,0,0,0,215,16,11,164,16,6,172,7,0,67,1,3,345,3,1,208,0,166,1,3,0,200,6527
197,2024,3,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,27481,476,165,12631,22,0,0,0,0,1079,59,10,1156,105,24,844,17,0,292,4,5,957,11,4,1487,3,730,35,9,1,334,47941
198,2024,3,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),10574,220,75,5465,12,0,0,0,0,472,45,0,289,77,6,499,11,0,157,5,0,398,1,2,372,0,296,22,0,0,169,19167
199,2024,3,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,34046,1208,466,9138,33,0,0,0,0,2604,382,16,1630,157,92,683,25,0,309,13,0,741,8,32,1640,0,504,12,1,1,373,54114
200,2024,3,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,33797,910,421,8908,25,0,0,0,0,1749,279,30,1247,152,64,856,30,4,324,25,0,860,7,33,1963,7,545,9,2,0,443,52690
201,2024,3,A3913,Arrazola - DURANGO,7400,312,91,2465,1,0,0,0,0,879,134,5,431,25,64,50,0,0,56,0,0,81,0,0,350,0,210,1,1,0,33,12589
