_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
182,2025,5,A3518,BILBAO - MUNGIA - BAKIO (Por la autopista/tik),38568,1300,125,6426,36,7,3,4,0,1369,287,16,2783,176,90,1659,59,0,358,18,0,3067,71,28,41,0,1,7,0,0,2417,1,341,16,0,0,0,436,59710
183,2025,5,A3522,MUNGIA-DERIO-Gurutzeta/Cruces,9858,134,38,2313,3,0,0,0,0,431,21,0,723,24,6,624,5,0,207,0,0,1402,13,4,0,0,0,2,0,0,279,0,106,6,0,0,0,129,16328
184,2025,5,A3524,BERMEO - BAKIO,277,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,0,0,0,0,0,0,0,1406
185,2025,5,A3527,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),63159,2042,226,10370,52,28,0,0,6,4364,353,99,5438,245,125,3401,231,0,729,19,0,4619,289,80,28,1,0,1,0,0,1902,3,565,19,0,0,0,733,99127
186,2025,5,A3528,BERMEO - MUNGIA - DERIO - UPV/EHU,4242,233,83,349,34,0,0,0,0,620,125,19,597,103,12,116,22,0,57,0,0,173,0,0,1,0,0,0,0,0,79,0,11,1,0,0,0,35,6912
187,2025,5,A3529,MUNGIA - GAMIZ - FIKA,690,10,0,111,0,0,0,0,0,0,0,0,48,0,0,18,0,0,28,0,0,64,0,0,0,0,0,0,0,0,13,0,21,1,0,0,0,1,1005
188,2025,5,A3530,MUNGIA - MEÃAKA - ARRIETA,535,30,0,232,0,0,0,0,0,4,0,0,6,0,0,15,0,0,3,0,0,15,0,0,1,0,0,0,0,0,37,0,2,0,0,0,0,2,882
189,2025,5,A3531,LEIOA-Hospital Urduliz Ospitalea - GATIKA -MUNGIA,12765,565,23,4042,13,0,0,0,0,548,222,13,1499,71,13,381,66,0,308,1,0,1154,119,0,2,0,0,0,0,0,455,0,440,6,0,0,0,190,22896
190,2025,5,A3537,PLENTZIA-GORLIZ-MUNGIA,5994,283,6,1359,0,9,0,0,0,186,14,0,546,14,6,122,90,0,77,0,0,431,31,8,0,2,0,0,0,0,183,0,94,7,0,0,0,82,9544
191,2025,6,A2610,GALDAKAO - UPV/EHU,3856,162,16,315,3,0,0,0,0,436,56,1,260,64,1,378,21,0,158,0,0,219,4,0,1,0,0,0,0,0,47,0,45,2,0,0,0,64,6109
193,2025,6,A3613,BILBAO - UGAO MIRABALLES - OROZKO,22701,390,31,9217,9,2,0,0,0,403,159,0,780,50,0,616,71,0,324,4,0,1639,56,1,60,3,0,8,0,0,1155,2,939,72,0,0,0,457,39149
194,2025,6,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,8314,183,31,2308,20,0,0,0,0,169,14,0,315,1,0,727,5,0,235,7,0,1009,52,15,1,0,0,0,0,0,243,0,365,8,0,0,0,208,14230
195,2025,6,A3631,BILBAO - GALDAKAO - LARRABETZU,20743,489,162,6104,24,0,0,0,1,659,42,0,1401,245,5,1416,95,0,603,41,0,2533,58,5,8,0,0,1,0,0,836,2,536,19,0,0,0,579,36607
196,2025,6,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3854,51,6,1620,20,0,0,0,0,111,9,0,339,16,0,234,22,0,98,9,0,776,17,8,4,0,0,0,0,0,136,0,225,27,0,0,0,247,7829
197,2025,6,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,32746,649,71,14764,46,1,0,0,0,762,79,0,1153,135,0,1276,68,0,431,35,3,2434,184,11,71,4,0,0,0,0,1436,4,992,39,0,0,0,319,57713
198,2025,6,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),11623,249,68,6558,31,1,0,0,0,349,36,0,428,26,3,745,22,0,290,21,1,1046,40,22,2,0,0,0,0,0,370,1,391,13,0,0,0,226,22562
199,2025,6,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,35241,1343,460,9662,45,1,0,2,0,1488,222,4,1542,96,132,1448,106,21,746,47,0,2041,37,16,74,3,0,2,0,0,1342,3,700,30,0,0,0,321,57175
200,2025,6,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,35912,920,305,9545,52,3,0,0,0,945,86,1,1462,100,30,1587,62,3,622,16,5,2366,28,15,57,1,0,2,0,0,1487,0,718,61,0,0,0,412,56803
201,2025,6,A3913,Arrazola - DURANGO,7531,358,74,2703,1,0,0,0,0,407,72,3,364,8,69,298,26,13,160,18,0,177,0,0,8,0,0,0,0,0,349,0,213,5,0,0,0,43,12900
202,2025,6,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,28185,841,115,4723,24,0,0,2,0,824,29,0,1946,80,14,1522,79,0,606,22,0,2472,30,20,16,0,0,0,0,0,932,0,590,5,0,0,0,426,43503
203,2025,6,A3923,BILBAO - DURANGO - ELORRIO (Autopista),36893,1412,438,6771,50,0,0,2,0,1416,135,5,894,95,54,1564,46,3,551,31,0,1232,64,13,88,0,0,0,0,0,1487,8,520,12,0,0,1,85,53870
204,2025,6,A3924,ERMUA - DURANGO - UPV/EHU,1583,159,11,46,0,0,0,0,0,131,19,0,20,4,1,37,0,0,2,0,0,5,0,0,3,0,0,0,0,0,23,0,1,0,0,0,0,25,2070
205,2025,6,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,16042,567,48,4032,4,0,0,0,0,392,56,0,935,95,12,846,22,0,356,14,0,1204,25,3,88,10,0,5,0,0,505,0,471,8,0,0,0,260,26000
206,2025,6,A3926,BILBAO - ERMUA - EIBAR (Autopista),24942,487,130,2562,2,7,0,0,0,652,60,9,217,33,0,1530,58,36,364,0,0,1032,39,2,9,1,0,0,0,0,1386,8,469,4,0,0,0,84,34123
207,2025,6,A3927,BILBAO - LEMOA - ZEANURI (Autopista),12994,521,67,1877,26,0,0,0,2,501,5,0,965,43,16,587,7,1,172,10,0,1023,20,3,6,3,0,0,0,0,458,0,293,0,0,0,0,98,19698
208,2025,6,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1080,34,0,808,0,0,0,0,0,0,0,0,70,0,0,7,0,0,4,0,0,34,1,0,11,0,0,0,0,0,76,0,46,0,0,0,0,10,2181
209,2025,6,A3930,BILBAO - GALDAKAO (Autopista),17478,482,3,4036,23,0,0,0,0,919,68,0,1053,80,5,1584,45,0,522,30,21,2191,13,0,10,2,0,1,0,0,295,0,160,6,0,0,1,212,29240
210,2025,6,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,65
211,2025,6,A3932,GALDAKAO - Metro Bolueta,32534,703,116,11132,63,25,0,0,0,19,2,0,26,2,0,48,0,0,13,0,0,44,3,0,4,0,0,0,0,0,392,0,818,20,0,0,0,395,46359
212,2025,6,A3933,BILBAO - DURANGO (Autopista),22579,1094,137,3628,20,1,0,0,0,1199,105,0,924,185,9,2517,75,1,418,5,0,1226,57,19,40,0,0,0,0,0,600,2,254,15,0,0,1,103,35214
213,2025,6,A3512,BILBAO - LEKEITIO (Autopista),35153,1592,130,6075,18,1,0,0,0,578,19,0,354,30,1,870,85,33,215,14,4,693,12,0,674,70,2,20,0,0,1530,4,415,14,0,0,0,167,48773
214,2025,6,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,12838,384,12,4021,7,7,2,0,0,241,9,0,306,22,6,240,1,0,83,1,0,348,8,0,221,9,0,1,0,0,732,2,113,3,0,0,0,65,19682
215,2025,6,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,37712,997,113,6445,85,1,2,5,3,860,31,0,2030,107,12,2182,58,0,443,0,0,2317,67,7,197,6,0,2,0,0,1080,7,273,28,0,0,0,168,55238
216,2025,6,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,63474,1647,251,13566,142,2,2,0,1,1895,128,0,2982,245,22,2328,95,0,641,0,0,3085,139,4,469,27,0,3,0,0,2254,0,675,10,0,0,0,255,94342
217,2025,6,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,10642,277,9,3549,44,0,0,0,0,222,9,0,376,24,4,364,0,0,53,0,0,371,18,1,221,7,0,3,0,0,690,8,137,4,0,0,0,52,17085
222,2025,6,A3534,GERNIKA LUMO - ERRIGOITI,347,20,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,4,0,0,0,1,474
223,2025,6,A3535,LEKEITIO - AMOROTO,19,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
