_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
80,2024,7,A3223,BILBAO-LARRABETZU(Artxandako tunelak/Tuneles Artxanda),10974,321,21,1710,6,0,0,0,0,488,42,0,464,94,8,383,18,0,94,0,0,550,8,0,2,0,0,0,0,0,672,0,193,2,0,0,0,169,16219
81,2024,7,A3224,BILBAO-DERIO-Teknologia parkea/Parque Tecnologico,6348,152,16,1288,12,0,0,0,0,260,5,0,286,26,0,478,13,0,146,15,0,544,8,0,0,0,0,1,0,0,163,0,78,1,0,0,0,99,9939
82,2024,7,A3225,BILBAO - LAUKIZ - MUNGIA,3563,85,9,496,0,0,0,0,0,22,8,0,374,8,1,99,0,0,85,0,0,446,2,2,0,0,0,0,0,0,121,0,118,4,0,0,0,50,5493
83,2024,7,A3247,BILBAO-Aireportua/Aeropuerto,60553,1400,152,3907,26,1,15,15,16,508,21,5,729,17,4,1242,17,2,379,20,0,1403,13,7,1247,39,11,26,0,0,64739,47,1859,38,0,0,0,365,138823
84,2024,7,A3250,BILBAO-Teknologia Parkea/Parque Tecnologico (Artxandako tunelak/Tuneles Artxanda),13029,189,6,724,0,0,0,0,0,519,126,37,1068,39,0,891,11,0,418,7,0,1060,31,36,1,0,0,2,0,0,202,0,3,0,0,0,0,59,18458
85,2024,7,A3516,BILBAO - MUNGIA (Por autopista/tik),1259,59,11,50,1,1,0,0,0,23,4,0,79,9,0,14,0,0,3,1,0,30,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,8,1570
86,2024,7,A3517,BILBAO - DERIO - MUNGIA,53073,1688,314,7480,56,7,10,4,8,933,145,10,1927,216,59,913,66,0,503,1,0,3081,26,18,47,1,6,0,0,0,5390,2,652,42,0,0,0,588,77266
87,2024,7,A3518,BILBAO - MUNGIA - BAKIO (Por la autopista/tik),74763,3168,372,11624,99,27,8,0,0,872,164,30,2508,256,46,1807,54,10,400,0,0,2815,24,26,42,1,0,3,0,0,3450,0,1088,37,0,0,0,722,104416
222,2024,9,A3534,GERNIKA LUMO - ERRIGOITI,102,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
88,2024,7,A3522,MUNGIA-DERIO-Gurutzeta/Cruces,8668,102,51,1760,3,0,0,0,0,121,2,13,567,43,4,373,0,1,126,0,0,793,3,6,0,0,0,0,0,0,342,1,187,24,0,0,0,93,13283
