_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
273,2023,6,A3247,BILBAO-Aireportua/Aeropuerto,52371,1091,103,5024,13,,7,10,22,273,9,1,390,38,26,52573,25,973,18,,,242,113209
274,2023,6,A3250,BILBAO-Teknologia Parkea/Parque Tecnologico (Artxandako tunelak/Tuneles Artxanda),16651,225,8,692,22,,,,,483,7,,611,14,,261,,23,3,,,140,19140
275,2023,6,A3516,BILBAO - MUNGIA (Por autopista/tik),7149,290,60,791,9,1,,,,235,17,,376,25,3,211,,98,,,,70,9335
276,2023,6,A3517,BILBAO - DERIO - MUNGIA,44131,1627,376,6000,34,11,5,6,9,1337,170,24,1547,259,12,3641,4,523,17,,,582,60315
277,2023,6,A3518,BILBAO - MUNGIA - BAKIO (Por la autopista/tik),52882,2411,329,7784,61,9,2,13,1,1172,108,5,1960,202,7,2817,,532,13,,,513,70821
278,2023,6,A3522,MUNGIA - DERIO - Cruces/Gurutzeta,9279,193,54,2020,16,,,,,219,7,1,272,31,,319,,151,5,,,127,12694
279,2023,6,A3524,BERMEO - BAKIO,,,,,,,,,,,,,,,,457,,,,,,0,457
280,2023,6,A3527,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),58162,2261,335,8096,66,7,,1,4,2329,172,8,2346,206,3,1963,,521,15,,,488,76983
281,2023,6,A3528,BERMEO - MUNGIA - DERIO - UPV/EHU,705,40,10,55,,,,,,27,4,4,29,5,,19,,1,,,,3,902
282,2023,6,A3529,MUNGIA - GAMIZ - FIKA,659,16,,77,,,,,,5,,,29,,,14,,3,,,,40,843
283,2023,6,A3530,MUNGIA - MEÃAKA - ARRIETA,296,21,,108,,,,,,0,,,4,1,,9,,1,,,,3,443
284,2023,6,A3531,SOPELANA - MUNGIA - GATIKA,9834,553,65,2971,7,,,,,403,45,,626,82,,526,,397,12,,,165,15686
285,2023,6,A3537,PLENTZIA-GORLIZ-MUNGIA,6344,346,48,1369,,6,,,,71,12,,379,35,,294,,154,24,,,99,9181
